# a kliens használja, de nincs benne definiálva
ColumnName	ColumnValue
[adm].[PatientIdTypes].[Comment]	WC_PatientIdType.HealthInsuranceCard
[adm].[PatientIdTypes].[Comment]	WC_PatientIdType.IdentityCard
[adm].[PatientIdTypes].[Comment]	WC_PatientIdType.Passport
[adm].[PatientIdTypes].[Comment]	WC_PatientIdType.MedicalCard
[adm].[PatientIdTypes].[Name]	WC_PatientIdType.HealthInsuranceCard
[adm].[PatientIdTypes].[Name]	WC_PatientIdType.IdentityCard
[adm].[PatientIdTypes].[Name]	WC_PatientIdType.MedicalCard
[adm].[PatientIdTypes].[Name]	WC_PatientIdType.Passport
[exm].[BodyParts].[Name]	WC_BodyPart.Ankle
[exm].[BodyParts].[Name]	WC_BodyPart.General
[exm].[BodyParts].[Name]	WC_BodyPart.Hip
[exm].[BodyParts].[Name]	WC_BodyPart.Knee
[exm].[BodyParts].[Name]	WC_BodyPart.Shoulder
[exm].[BodyPoints].[Name]	WC_BodyPoint.LeftAnkle
[exm].[BodyPoints].[Name]	WC_BodyPoint.LeftHip
[exm].[BodyPoints].[Name]	WC_BodyPoint.LeftKnee
[exm].[BodyPoints].[Name]	WC_BodyPoint.LeftShoulder
[exm].[BodyPoints].[Name]	WC_BodyPoint.RightAnkle
[exm].[BodyPoints].[Name]	WC_BodyPoint.RightHip
[exm].[BodyPoints].[Name]	WC_BodyPoint.RightKnee
[exm].[BodyPoints].[Name]	WC_BodyPoint.RightShoulder
[exm].[ExaminationObjectTypes].[Name]	WC_ExaminationObjectType.Angle
[exm].[ExaminationObjectTypes].[Name]	WC_ExaminationObjectType.HorizontalLine
[exm].[ExaminationObjectTypes].[Name]	WC_ExaminationObjectType.Range
[exm].[ExaminationObjectTypes].[Name]	WC_ExaminationObjectType.VerticalLine
[exm].[ExaminationObjectTypes].[Text]	WC_ExaminationObjectType.AngleDisplayText
[exm].[ExaminationObjectTypes].[Text]	WC_ExaminationObjectType.HorizontalLineDisplayText
[exm].[ExaminationObjectTypes].[Text]	WC_ExaminationObjectType.RangeDisplayText
[exm].[ExaminationObjectTypes].[Text]	WC_ExaminationObjectType.VerticalLineDisplayText
[exm].[Examinations].[ExaminationLead]	WC_ExaminationType.WalkingExam Apród Ármin számára
[exm].[Examinations].[PatientIdTypeName]	WC_PatientIdType.HealthInsuranceCard
[exm].[ExaminationTypes].[Name]	WC_ExaminationType.CameraExam
[exm].[ExaminationTypes].[Name]	WC_ExaminationType.FootPressureExam
[exm].[ExaminationTypes].[Name]	WC_ExaminationType.OnlineInsoleExam
[exm].[ExaminationTypes].[Name]	WC_ExaminationType.WalkingExam
[exm].[Markers].[Name]	WC_Marker.Black
[exm].[Markers].[Name]	WC_Marker.White
[exm].[Markers].[Name]	WC_Marker.Yellow
[exm].[Markers].[Name]	WC_Marker.Orange
[exm].[Markers].[Name]	WC_Marker.Red
[exm].[Markers].[Name]	WC_Marker.Green
[exm].[Markers].[Name]	WC_Marker.Blue
[exm].[Markers].[Name]	WC_Marker.Purple
[exm].[Markers].[Name]	WC_Marker.Pink
[exm].[MediaTypes].[Name]	WC_MediaType.Image
[exm].[MediaTypes].[Name]	WC_MediaType.PDF
[exm].[MediaTypes].[Name]	WC_MediaType.RTF
[exm].[MediaTypes].[Name]	WC_MediaType.Sound
[exm].[MediaTypes].[Name]	WC_MediaType.Text
[exm].[MediaTypes].[Name]	WC_MediaType.Video
[hw].[Directions].[Name]	WC_Direction.Back
[hw].[Directions].[Name]	WC_Direction.Front
[hw].[Directions].[Name]	WC_Direction.Left
[hw].[Directions].[Name]	WC_Direction.Right
[hw].[HardwareTypes].[Name]	WC_HardwareType.Camera
[hw].[HardwareTypes].[Name]	WC_HardwareType.CPU
[hw].[HardwareTypes].[Name]	WC_HardwareType.Insole
[hw].[HardwareTypes].[Name]	WC_HardwareType.Treadmill
[hw].[HardwareUpdateTypes].[Name]	WC_HardwareUpdateType.Camera
[hw].[HardwareUpdateTypes].[Name]	WC_HardwareUpdateType.CPU
[hw].[HardwareUpdateTypes].[Name]	WC_HardwareUpdateType.Insole
[hw].[HardwareUpdateTypes].[Name]	WC_HardwareUpdateType.Treadmill
[hw].[InsoleAgeCategories].[Name]	WC_Adult
[hw].[InsoleAgeCategories].[Name]	WC_Children
[hw].[InsoleGenders].[Name]	WC_Man
[hw].[InsoleGenders].[Name]	WC_Woman
[hw].[InsoleSides].[Name]	WC_Direction.Left
[hw].[InsoleSides].[Name]	WC_Direction.Right
